March, Category4, 530
May, Category6, 309
May, Category6, 298
March, Category7, 976
March, Category4, 272
November, Category7, 852
February, Category7, 424
November, Category1, 126
January, Category2, 287
August, Category5, 17
February, Category1, 294
November, Category9, 363
January, Category8, 681
October, Category7, 778
September, Category2, 382
May, Category6, 77
May, Category7, 411
August, Category2, 57
August, Category4, 536
February, Category8, 566
June, Category5, 527
August, Category1, 940
May, Category3, 421
September, Category3, 631
February, Category1, 950
February, Category7, 910
June, Category1, 234
July, Category8, 871
December, Category9, 711
August, Category2, 428
May, Category4, 352
June, Category8, 728
August, Category1, 687
July, Category8, 910
July, Category3, 644
November, Category2, 48
March, Category0, 574
April, Category9, 358
January, Category8, 638
May, Category0, 667
April, Category0, 989
August, Category7, 122
May, Category9, 729
September, Category0, 390
February, Category0, 854
November, Category2, 910
August, Category8, 242
March, Category3, 351
June, Category1, 531
May, Category2, 278
June, Category4, 380
April, Category4, 852
July, Category4, 451
January, Category7, 531
October, Category2, 2
May, Category8, 465
July, Category1, 633
February, Category5, 531
July, Category0, 974
March, Category1, 111
August, Category5, 239
June, Category5, 262
September, Category6, 809
July, Category4, 193
November, Category9, 146
September, Category2, 535
September, Category3, 707
April, Category2, 193
December, Category5, 799
October, Category1, 880
March, Category1, 261
March, Category4, 819
June, Category2, 358
January, Category5, 922
January, Category9, 484
March, Category1, 800
January, Category3, 117
September, Category0, 339
September, Category6, 407
May, Category2, 102
January, Category7, 768
November, Category7, 576
October, Category5, 68
October, Category1, 822
May, Category2, 439
November, Category9, 942
March, Category5, 600
November, Category2, 838
January, Category1, 575
September, Category8, 700
December, Category9, 701
April, Category9, 16
December, Category8, 836
March, Category9, 676
January, Category9, 816
September, Category6, 659
August, Category0, 487
January, Category8, 185
December, Category4, 442
April, Category7, 625
June, Category7, 116
May, Category5, 35
October, Category6, 542
July, Category5, 322
September, Category5, 471
September, Category8, 497
September, Category5, 445
February, Category8, 407
March, Category6, 271
June, Category9, 623
January, Category0, 990
August, Category0, 625
March, Category1, 74
February, Category5, 241
November, Category2, 328
July, Category0, 371
January, Category3, 722
September, Category6, 630
October, Category3, 164
March, Category2, 197
March, Category3, 440
August, Category5, 841
April, Category6, 38
February, Category0, 379
February, Category1, 664
June, Category2, 324
July, Category1, 812
June, Category4, 70
April, Category2, 892
June, Category7, 622
February, Category5, 642
August, Category5, 1
January, Category1, 957
January, Category2, 791
June, Category8, 380
January, Category8, 655
August, Category9, 302
December, Category3, 825
September, Category0, 988
January, Category0, 540
August, Category8, 130
June, Category5, 314
December, Category9, 685
February, Category9, 281
March, Category1, 97
December, Category5, 808
July, Category8, 625
October, Category2, 612
October, Category8, 6
December, Category2, 76
January, Category9, 536
May, Category3, 823
September, Category9, 588
February, Category9, 482
September, Category6, 345
October, Category5, 600
August, Category7, 961
April, Category4, 191
September, Category7, 53
July, Category7, 201
June, Category2, 474
June, Category1, 549
May, Category7, 673
October, Category3, 121
June, Category0, 601
September, Category0, 908
February, Category0, 556
May, Category6, 435
April, Category8, 60
April, Category6, 521
April, Category3, 457
February, Category9, 742
September, Category9, 823
August, Category9, 524
September, Category4, 847
August, Category7, 797
September, Category0, 412
March, Category6, 613
April, Category0, 622
September, Category1, 872
December, Category6, 841
August, Category1, 14
May, Category5, 907
September, Category4, 899
August, Category3, 538
December, Category9, 95
September, Category5, 487
October, Category0, 830
February, Category6, 208
April, Category9, 982
December, Category7, 916
May, Category2, 965
November, Category8, 273
October, Category7, 542
February, Category4, 569
July, Category9, 304
April, Category2, 641
February, Category4, 866
April, Category1, 208
April, Category1, 574
July, Category4, 881
November, Category8, 842
July, Category7, 469
April, Category9, 542
January, Category1, 22
December, Category6, 317
October, Category8, 177
November, Category4, 198
February, Category9, 293
November, Category6, 703
November, Category3, 559
November, Category1, 160
December, Category5, 324
April, Category1, 742
October, Category4, 125
November, Category7, 602
June, Category4, 508
October, Category4, 256
September, Category4, 295
March, Category3, 973
February, Category0, 37
July, Category5, 191
July, Category0, 432
February, Category2, 33
February, Category5, 25
August, Category6, 817
May, Category3, 170
April, Category3, 87
July, Category0, 909
November, Category3, 705
June, Category8, 591
August, Category1, 583
April, Category3, 525
September, Category2, 754
February, Category8, 839
November, Category2, 379
December, Category4, 479
August, Category0, 621
May, Category0, 965
May, Category4, 876
May, Category8, 170
January, Category5, 1000
November, Category8, 573
December, Category6, 4
January, Category8, 863
August, Category8, 274
November, Category6, 623
December, Category9, 12
June, Category4, 640
November, Category2, 949
May, Category2, 873
October, Category1, 79
February, Category3, 551
May, Category6, 108
September, Category9, 217
April, Category8, 982
July, Category9, 90
August, Category6, 766
January, Category5, 514
