Month,Total Expenses,Budget,Remaining Budget,Carryover
January,418601.00,1000000.00,581399.00,0.00
February,419076.00,1200000.00,1362323.00,581399.00
March,409413.00,1400000.00,2352910.00,1362323.00
April,399349.00,1600000.00,3553561.00,2352910.00
May,398317.00,1800000.00,4955244.00,3553561.00
June,422225.00,2000000.00,6533019.00,4955244.00
July,419062.00,2200000.00,8313957.00,6533019.00
August,406727.00,2400000.00,10307230.00,8313957.00
September,378031.00,2600000.00,12529199.00,10307230.00
October,417258.00,2800000.00,14911941.00,12529199.00
November,417284.00,3000000.00,17494657.00,14911941.00
December,406998.00,3200000.00,20287659.00,17494657.00
